Event Type,Theme,Attendees,Estimated Cost (INR),Decor Items,Menu Items,Location,Predicted Success Score
Birthday,Unicorn Fantasy,401,26402,"Glitter Table, Pastel Balloons","Fries, Cupcakes",Hyderabad,0.52
Sports,Team Colors,886,149598,"Jersey Drapes, Flags","Burger, Soda",Mumbai,0.82
Birthday,Unicorn Fantasy,1160,141778,"Pastel Balloons, Rainbow Cake","Pizza, Fries",Mumbai,0.72
Sports,Champion’s Podium,1319,103177,"LED Stage, Photo Booth","Ice Cream, Soda",Hyderabad,0.99
Birthday,Space Adventure,1072,137983,"Blue Lighting, Rocket Cutouts","Cupcakes, Fries",Mumbai,0.78
Birthday,Retro Party,1000,40311,"Cassette Decor, Disco Ball","Fries, Pizza",Mumbai,0.79
Birthday,Unicorn Fantasy,573,120410,"Pastel Balloons, Rainbow Cake","Fries, Cupcakes",Mumbai,0.91
Sports,Stadium Setup,951,36322,"Turf Carpet, Mini Goal Post","Ice Cream, Soda",Hyderabad,0.58
Cultural,Traditional Glow,820,98279,"Brass Vases, Clay Lamps","Kheer, Thali",Hyderabad,0.93
Corporate,Blue & White,1094,27608,"Stage Lights, Blue Drapes","Mocktails, Canapés",Hyderabad,0.66
Sports,Champion’s Podium,155,123290,"Trophy Stand, Photo Booth","Burger, Soda",Delhi,0.88
Birthday,Unicorn Fantasy,632,119379,"Rainbow Cake, Glitter Table","Fries, Cupcakes",Hyderabad,0.8
Cultural,Festive Lights,267,143288,"Colorful Lanterns, Fabric Canopy","Thali, Samosa",Chennai,0.71
Wedding,Royal Elegance,606,72261,"Golden Drapes, Chandelier","Paneer Tikka, Butter Naan",Chennai,0.95
Wedding,Garden Dream,546,141905,"Fairy Lights, Green Arch","Paneer Tikka, Butter Naan",Bangalore,0.91
Wedding,Garden Dream,152,101777,"Outdoor Tent, Fairy Lights","Paneer Tikka, Gulab Jamun",Hyderabad,0.87
Wedding,Garden Dream,717,242899,"Green Arch, Fairy Lights","Butter Naan, Gulab Jamun",Delhi,0.91
Corporate,Modern Tech,1136,189749,"Digital Banner, LED Panels","Mocktails, Brownies",Hyderabad,0.8
Cultural,Ethnic Vibe,413,134160,"Flower Strings, Carved Wood Decor","Samosa, Kheer",Chennai,0.75
Cultural,Festive Lights,1313,90358,"Colorful Lanterns, Fabric Canopy","Kheer, Thali",Mumbai,0.8
Cultural,Ethnic Vibe,1349,195161,"Carved Wood Decor, Flower Strings","Thali, Kheer",Delhi,0.81
Birthday,Retro Party,629,109217,"Disco Ball, Cassette Decor","Cupcakes, Pizza",Chennai,0.78
Sports,Team Colors,275,83270,"Jersey Drapes, Flags","Ice Cream, Soda",Hyderabad,0.92
Cultural,Festive Lights,135,44393,"Ethnic Drapes, Colorful Lanterns","Kheer, Samosa",Hyderabad,0.62
Cultural,Ethnic Vibe,1187,110113,"Carved Wood Decor, Flower Strings","Samosa, Kheer",Chennai,0.83
Corporate,Blue & White,614,80434,"White Flowers, Blue Drapes","Brownies, Canapés",Mumbai,0.74
Birthday,Unicorn Fantasy,1091,92482,"Glitter Table, Rainbow Cake","Pizza, Cupcakes",Chennai,0.92
Corporate,Modern Tech,839,67039,"LED Panels, Digital Banner","Canapés, Brownies",Chennai,0.79
Sports,Stadium Setup,358,187213,"Mini Goal Post, Seating Zones","Ice Cream, Soda",Hyderabad,0.96
Cultural,Festive Lights,1002,109314,"Fabric Canopy, Ethnic Drapes","Thali, Samosa",Delhi,0.76
Cultural,Festive Lights,251,171262,"Colorful Lanterns, Ethnic Drapes","Samosa, Kheer",Delhi,0.89
Wedding,Royal Elegance,342,166295,"Chandelier, Golden Drapes","Gulab Jamun, Butter Naan",Chennai,0.93
Cultural,Festive Lights,708,245487,"Fabric Canopy, Colorful Lanterns","Samosa, Thali",Hyderabad,0.88
Birthday,Space Adventure,532,89375,"Glow Stars, Blue Lighting","Cupcakes, Pizza",Mumbai,0.9
Birthday,Unicorn Fantasy,936,138096,"Rainbow Cake, Pastel Balloons","Pizza, Fries",Hyderabad,0.91
Corporate,Innovation Hub,1029,38659,"Tech Booths, AR Setup","Mocktails, Canapés",Bangalore,0.77
Sports,Team Colors,1426,59056,"Flags, Jersey Drapes","Burger, Soda",Mumbai,0.97
Sports,Champion’s Podium,1265,95657,"LED Stage, Photo Booth","Ice Cream, Soda",Hyderabad,0.83
Corporate,Innovation Hub,1205,149445,"AR Setup, Logo Projection","Brownies, Mocktails",Chennai,0.83
Sports,Stadium Setup,152,43940,"Seating Zones, Mini Goal Post","Ice Cream, Soda",Chennai,0.59
Sports,Team Colors,458,143338,"Team Banners, Flags","Ice Cream, Soda",Hyderabad,0.86
Cultural,Traditional Glow,1062,111215,"Brass Vases, Clay Lamps","Thali, Kheer",Bangalore,0.82
Cultural,Ethnic Vibe,1114,95554,"Flower Strings, Rangoli","Kheer, Thali",Hyderabad,0.9
Corporate,Blue & White,762,50388,"Stage Lights, Blue Drapes","Brownies, Mocktails",Hyderabad,0.99
Cultural,Traditional Glow,484,155905,"Brass Vases, Folk Artwork","Thali, Samosa",Hyderabad,0.81
Corporate,Innovation Hub,368,95505,"AR Setup, Tech Booths","Brownies, Canapés",Hyderabad,0.83
Birthday,Retro Party,1228,23584,"Neon Lights, Disco Ball","Fries, Pizza",Delhi,0.72
Birthday,Retro Party,697,153397,"Cassette Decor, Disco Ball","Pizza, Fries",Hyderabad,0.91
Sports,Team Colors,885,69967,"Jersey Drapes, Flags","Burger, Soda",Chennai,0.98
